Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2019-10-05,Kortrijk,St Truiden,H,1.0,1.4,12.2,4.2,7.8,0.4,1.4,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.7999999999999999,1.2,0.31818181818181823,0.33333333333333337,0.4,0
2019-10-06,Club Brugge,Gent,H,1.6,1.0,16.2,6.4,5.2,0.6,1.8,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.40000000000000013,0.20000000000000018,0.372093023255814,0.3230769230769231,0.19999999999999996,0
2019-10-06,Antwerp,Standard,D,1.6,1.2,15.0,6.4,7.8,0.2,0.8,0.4,0.6,9.8,1.8,2.8,0.4,1.4,-0.5999999999999999,0.6000000000000001,0.4,0.16666666666666666,-0.2,1
2019-10-06,Genk,Mouscron,H,1.8,1.6,15.8,5.6,5.6,0.6,2.0,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.2,0.8,0.3333333333333333,0.2602739726027397,0.39999999999999997,0
2019-10-18,Mouscron,Club Brugge,A,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.6,1.0,16.2,6.4,5.2,0.6,1.8,-1.0,-1.2000000000000002,0.2602739726027397,0.372093023255814,-0.39999999999999997,2
2019-10-19,Standard,Genk,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-0.6000000000000001,-0.3999999999999999,0.16666666666666666,0.3333333333333333,-0.19999999999999996,0
2019-10-19,Kortrijk,Waregem,H,1.0,1.4,12.2,4.2,7.8,0.4,1.4,2.2,2.2,10.2,5.0,4.4,0.2,0.8,0.5999999999999999,-0.3999999999999999,0.31818181818181823,0.44642857142857145,0.2,0
2019-10-19,Oostende,Eupen,A,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.0,-1.6000000000000003,0.36708860759493667,0.25,0.0,2
2019-10-19,Gent,Waasland-Beveren,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,2.0,2.2,13.8,6.6,5.0,0.4,1.2,0.19999999999999996,0.6000000000000001,0.3230769230769231,0.4459459459459459,0.0,0
2019-10-20,Mechelen,Antwerp,H,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.6,1.2,15.0,6.4,7.8,0.2,0.8,0.5999999999999999,-0.40000000000000013,0.3611111111111111,0.4,0.2,0
2019-10-20,Anderlecht,St Truiden,H,1.4,0.6,12.4,4.4,5.8,0.6,2.2,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.6,2.4,0.3283582089552239,0.33333333333333337,0.6,0
2019-10-20,Cercle Brugge,Charleroi,A,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-1.0,-1.0000000000000002,0.30952380952380953,0.275,-0.39999999999999997,2
2019-10-25,Eupen,Anderlecht,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-1.6,-1.4,0.25,0.3283582089552239,-0.39999999999999997,1
2019-10-26,Charleroi,Mouscron,H,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.0,0.8000000000000003,0.275,0.2602739726027397,0.39999999999999997,0
2019-10-26,Antwerp,Kortrijk,H,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.0,1.4,12.2,4.2,7.8,0.4,1.4,-0.5999999999999999,0.8,0.4,0.31818181818181823,-0.2,0
2019-10-26,Waregem,Oostende,H,2.2,2.2,10.2,5.0,4.4,0.2,0.8,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.20000000000000007,2.2,0.44642857142857145,0.36708860759493667,0.0,0
2019-10-26,Genk,Cercle Brugge,H,1.8,1.6,15.8,5.6,5.6,0.6,2.0,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.2,1.0,0.3333333333333333,0.30952380952380953,0.39999999999999997,0
2019-10-27,Club Brugge,Standard,D,1.6,1.0,16.2,6.4,5.2,0.6,1.8,0.4,0.6,9.8,1.8,2.8,0.4,1.4,0.40000000000000013,0.8,0.372093023255814,0.16666666666666666,0.19999999999999996,1
2019-10-27,St Truiden,Gent,D,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.4,1.0,12.0,4.2,4.2,0.4,1.4,-0.7999999999999999,-1.9999999999999998,0.33333333333333337,0.3230769230769231,-0.4,1
2019-10-27,Waasland-Beveren,Mechelen,A,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.8,1.8,13.4,5.2,4.4,0.4,1.4,-0.19999999999999996,-0.20000000000000018,0.4459459459459459,0.3611111111111111,0.0,2
2019-10-29,Cercle Brugge,Mouscron,D,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.2,1.8,13.6,3.8,5.2,0.2,0.8,0.0,-0.19999999999999996,0.30952380952380953,0.2602739726027397,0.0,1
2019-10-29,Kortrijk,Eupen,A,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.7999999999999999,0.19999999999999996,0.31818181818181823,0.25,0.2,2
2019-10-29,Oostende,Charleroi,A,0.8,3.0,14.8,5.8,5.4,0.2,0.6,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-1.2000000000000002,-2.4000000000000004,0.36708860759493667,0.275,-0.39999999999999997,2
2019-10-30,Genk,Antwerp,D,1.8,1.6,15.8,5.6,5.6,0.6,2.0,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.2,-0.20000000000000018,0.3333333333333333,0.4,0.39999999999999997,1
2019-10-30,Mechelen,St Truiden,A,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.7999999999999999,1.5999999999999999,0.3611111111111111,0.33333333333333337,0.4,2
2019-10-30,Standard,Waasland-Beveren,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,2.0,2.2,13.8,6.6,5.0,0.4,1.2,0.19999999999999996,2.220446049250313e-16,0.16666666666666666,0.4459459459459459,0.0,0
2019-10-30,Waregem,Club Brugge,A,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.6,1.0,16.2,6.4,5.2,0.6,1.8,-1.0,-0.6000000000000001,0.44642857142857145,0.372093023255814,-0.39999999999999997,2
2019-10-31,Anderlecht,Gent,D,1.4,0.6,12.4,4.4,5.8,0.6,2.2,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.8000000000000003,0.4,0.3283582089552239,0.3230769230769231,0.19999999999999996,1
2019-11-02,Eupen,Genk,H,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-1.4,-0.7999999999999998,0.25,0.3333333333333333,-0.39999999999999997,0
2019-11-02,Mouscron,Antwerp,H,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.6,1.2,15.0,6.4,7.8,0.2,0.8,0.0,-1.0000000000000002,0.2602739726027397,0.4,0.0,0
2019-11-02,St Truiden,Oostende,H,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.0,0.6000000000000003,0.33333333333333337,0.36708860759493667,-0.2,0
2019-11-02,Waasland-Beveren,Waregem,A,2.0,2.2,13.8,6.6,5.0,0.4,1.2,2.2,2.2,10.2,5.0,4.4,0.2,0.8,0.3999999999999999,-0.20000000000000018,0.4459459459459459,0.44642857142857145,0.2,2
2019-11-02,Club Brugge,Kortrijk,H,1.6,1.0,16.2,6.4,5.2,0.6,1.8,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.40000000000000013,1.0,0.372093023255814,0.31818181818181823,0.19999999999999996,0
2019-11-03,Anderlecht,Cercle Brugge,H,1.4,0.6,12.4,4.4,5.8,0.6,2.2,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.4000000000000001,1.6,0.3283582089552239,0.30952380952380953,0.39999999999999997,0
2019-11-03,Gent,Standard,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.4,0.6,9.8,1.8,2.8,0.4,1.4,0.0,0.5999999999999999,0.3230769230769231,0.16666666666666666,0.0,0
2019-11-03,Mechelen,Charleroi,D,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-0.40000000000000013,-0.20000000000000018,0.3611111111111111,0.275,-0.19999999999999996,1
2019-11-08,Waregem,Anderlecht,A,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-1.4000000000000001,-0.7999999999999999,0.44642857142857145,0.3283582089552239,-0.39999999999999997,2
2019-11-09,Charleroi,Eupen,H,1.6,1.4,15.0,4.4,4.4,0.6,1.8,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.2000000000000002,0.8,0.275,0.25,0.39999999999999997,0
2019-11-09,Cercle Brugge,St Truiden,H,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.20000000000000007,0.7999999999999998,0.30952380952380953,0.33333333333333337,0.2,0
2019-11-09,Kortrijk,Waasland-Beveren,A,1.0,1.4,12.2,4.2,7.8,0.4,1.4,2.0,2.2,13.8,6.6,5.0,0.4,1.2,0.19999999999999996,-0.19999999999999973,0.31818181818181823,0.4459459459459459,0.0,2
2019-11-09,Oostende,Mouscron,D,0.8,3.0,14.8,5.8,5.4,0.2,0.6,1.2,1.8,13.6,3.8,5.2,0.2,0.8,-0.20000000000000007,-1.6,0.36708860759493667,0.2602739726027397,0.0,1
