Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2019-08-17,Waasland-Beveren,Genk,A,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-0.8,-0.40000000000000013,0.4459459459459459,0.3333333333333333,-0.19999999999999996,2
2019-08-18,Standard,Mouscron,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,1.2,1.8,13.6,3.8,5.2,0.2,0.8,0.5999999999999999,0.40000000000000013,0.16666666666666666,0.2602739726027397,0.2,0
2019-08-18,Antwerp,St Truiden,H,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.20000000000000007,2.0,0.4,0.33333333333333337,0.2,0
2019-08-18,Gent,Oostende,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.7999999999999999,2.6,0.3230769230769231,0.36708860759493667,0.2,0
2019-08-19,Waregem,Charleroi,H,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-1.0,-0.20000000000000018,0.44642857142857145,0.275,-0.39999999999999997,0
2019-08-23,Genk,Anderlecht,H,1.8,1.6,15.8,5.6,5.6,0.6,2.0,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-0.20000000000000018,-0.6,0.3333333333333333,0.3283582089552239,0.0,0
2019-08-24,Cercle Brugge,Waasland-Beveren,H,1.2,2.0,15.8,5.2,7.6,0.2,0.8,2.0,2.2,13.8,6.6,5.0,0.4,1.2,-0.3999999999999999,-0.5999999999999999,0.30952380952380953,0.4459459459459459,-0.2,0
2019-08-24,St Truiden,Waregem,D,1.2,2.8,8.6,3.2,3.4,0.0,0.6,2.2,2.2,10.2,5.0,4.4,0.2,0.8,-0.20000000000000007,-1.5999999999999999,0.33333333333333337,0.44642857142857145,-0.2,1
2019-08-24,Oostende,Mechelen,H,0.8,3.0,14.8,5.8,5.4,0.2,0.6,1.8,1.8,13.4,5.2,4.4,0.4,1.4,-0.7999999999999999,-2.2,0.36708860759493667,0.3611111111111111,-0.2,0
2019-08-25,Standard,Kortrijk,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.0,0.19999999999999996,0.16666666666666666,0.31818181818181823,0.0,0
2019-08-25,Mouscron,Eupen,H,1.2,1.8,13.6,3.8,5.2,0.2,0.8,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.20000000000000007,-2.220446049250313e-16,0.2602739726027397,0.25,0.0,0
2019-08-30,Mechelen,Mouscron,D,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.2,1.8,13.6,3.8,5.2,0.2,0.8,0.5999999999999999,0.6000000000000001,0.3611111111111111,0.2602739726027397,0.2,1
2019-08-31,Eupen,St Truiden,A,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.0,1.0,0.25,0.33333333333333337,0.2,2
2019-08-31,Kortrijk,Oostende,D,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.7999999999999999,1.8000000000000003,0.31818181818181823,0.36708860759493667,0.2,1
2019-08-31,Waasland-Beveren,Charleroi,A,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-0.6000000000000001,-0.40000000000000036,0.4459459459459459,0.275,-0.19999999999999996,2
2019-09-01,Club Brugge,Genk,D,1.6,1.0,16.2,6.4,5.2,0.6,1.8,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-0.19999999999999996,0.40000000000000013,0.372093023255814,0.3333333333333333,0.0,1
2019-09-01,Anderlecht,Standard,H,1.4,0.6,12.4,4.4,5.8,0.6,2.2,0.4,0.6,9.8,1.8,2.8,0.4,1.4,0.8000000000000003,0.9999999999999999,0.3283582089552239,0.16666666666666666,0.19999999999999996,0
2019-09-01,Gent,Cercle Brugge,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,1.2,2.0,15.8,5.2,7.6,0.2,0.8,0.5999999999999999,1.2,0.3230769230769231,0.30952380952380953,0.2,0
2019-09-01,Waregem,Antwerp,H,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.6,1.2,15.0,6.4,7.8,0.2,0.8,0.0,-0.40000000000000013,0.44642857142857145,0.4,0.0,0
2019-09-13,Charleroi,Genk,H,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-0.19999999999999996,2.220446049250313e-16,0.275,0.3333333333333333,0.0,0
2019-09-14,Oostende,Standard,A,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.4,0.6,9.8,1.8,2.8,0.4,1.4,-0.7999999999999999,-2.0,0.36708860759493667,0.16666666666666666,-0.2,2
2019-09-14,Eupen,Waregem,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,2.2,2.2,10.2,5.0,4.4,0.2,0.8,-0.20000000000000007,-0.5999999999999999,0.25,0.44642857142857145,0.0,1
2019-09-14,St Truiden,Waasland-Beveren,D,1.2,2.8,8.6,3.2,3.4,0.0,0.6,2.0,2.2,13.8,6.6,5.0,0.4,1.2,-0.6,-1.3999999999999997,0.33333333333333337,0.4459459459459459,-0.4,1
2019-09-14,Cercle Brugge,Club Brugge,A,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.6,1.0,16.2,6.4,5.2,0.6,1.8,-1.0,-1.4000000000000001,0.30952380952380953,0.372093023255814,-0.39999999999999997,2
2019-09-15,Anderlecht,Antwerp,A,1.4,0.6,12.4,4.4,5.8,0.6,2.2,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.4000000000000001,0.3999999999999998,0.3283582089552239,0.4,0.39999999999999997,2
2019-09-15,Gent,Mechelen,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,1.8,1.8,13.4,5.2,4.4,0.4,1.4,0.0,0.3999999999999999,0.3230769230769231,0.3611111111111111,0.0,0
2019-09-15,Mouscron,Kortrijk,H,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.0,1.4,12.2,4.2,7.8,0.4,1.4,-0.5999999999999999,-0.20000000000000018,0.2602739726027397,0.31818181818181823,-0.2,0
2019-09-20,Kortrijk,Mechelen,A,1.0,1.4,12.2,4.2,7.8,0.4,1.4,1.8,1.8,13.4,5.2,4.4,0.4,1.4,0.0,-0.3999999999999999,0.31818181818181823,0.3611111111111111,0.0,2
2019-09-21,Charleroi,St Truiden,A,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.2000000000000002,1.8,0.275,0.33333333333333337,0.6,2
2019-09-21,Antwerp,Cercle Brugge,H,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.2,2.0,15.8,5.2,7.6,0.2,0.8,0.0,1.2000000000000002,0.4,0.30952380952380953,0.0,0
2019-09-21,Waasland-Beveren,Mouscron,D,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.2,1.8,13.6,3.8,5.2,0.2,0.8,0.3999999999999999,0.3999999999999999,0.4459459459459459,0.2602739726027397,0.2,1
2019-09-21,Genk,Oostende,H,1.8,1.6,15.8,5.6,5.6,0.6,2.0,0.8,3.0,14.8,5.8,5.4,0.2,0.6,1.4,2.4000000000000004,0.3333333333333333,0.36708860759493667,0.39999999999999997,0
2019-09-22,Standard,Eupen,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.7999999999999999,0.3999999999999999,0.16666666666666666,0.25,0.2,0
2019-09-22,Club Brugge,Anderlecht,H,1.6,1.0,16.2,6.4,5.2,0.6,1.8,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-0.40000000000000013,-0.19999999999999984,0.372093023255814,0.3283582089552239,0.0,0
2019-09-22,Waregem,Gent,D,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.4,1.0,12.0,4.2,4.2,0.4,1.4,-0.5999999999999999,-0.3999999999999999,0.44642857142857145,0.3230769230769231,-0.2,1
2019-09-28,Mechelen,Club Brugge,A,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.6,1.0,16.2,6.4,5.2,0.6,1.8,-0.40000000000000013,-0.6000000000000001,0.3611111111111111,0.372093023255814,-0.19999999999999996,2
