FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
3.0,0.0,2,1.0,4.0,0.0,12.0,6.0,2.2,10.0
4.0,1.0,2,3.0,4.0,0.0,21.0,5.0,11.5,8.0
0.0,1.0,1,0.0,4.0,0.0,14.0,4.0,1.75,12.0
0.0,2.0,0,0.0,10.0,1.0,9.0,0.0,1.22,6.0
0.0,1.0,0,0.0,1.0,1.0,15.0,7.0,1.7,19.0
2.0,0.0,2,1.0,2.0,0.0,17.0,8.0,2.3,12.0
6.0,0.0,2,3.0,0.0,0.0,14.0,8.0,4.2,16.0
2.0,1.0,1,1.0,2.0,1.0,10.0,5.0,2.95,13.0
2.0,1.0,2,1.0,7.0,0.0,14.0,5.0,1.68,7.0
5.0,0.0,1,1.0,4.0,0.0,12.0,5.0,2.2,12.0
1.0,3.0,2,1.0,3.0,0.0,6.0,5.0,2.3,15.0
0.0,2.0,1,0.0,8.0,0.0,17.0,4.0,1.45,8.0
4.0,0.0,2,1.0,1.0,0.0,12.0,9.0,11.5,27.0
2.0,0.0,2,1.0,2.0,0.0,20.0,8.0,5.0,24.0
2.0,0.0,2,1.0,2.0,0.0,10.0,8.0,3.6,26.0
1.0,0.0,2,1.0,3.0,0.0,15.0,3.0,1.8,7.0
1.0,1.0,0,0.0,3.0,1.0,13.0,3.0,3.0,8.0
2.0,3.0,0,1.0,3.0,2.0,4.0,4.0,3.1,14.0
2.0,2.0,0,1.0,3.0,2.0,9.0,5.0,7.25,19.0
2.0,1.0,2,2.0,5.0,1.0,8.0,6.0,3.1,11.0
2.0,1.0,2,1.0,5.0,0.0,10.0,5.0,3.5,8.0
1.0,1.0,0,0.0,2.0,1.0,12.0,3.0,3.5,18.0
0.0,3.0,1,0.0,8.0,0.0,11.0,3.0,1.72,10.0
1.0,1.0,2,1.0,6.0,0.0,17.0,5.0,3.7,6.0
1.0,2.0,0,0.0,4.0,1.0,10.0,4.0,2.25,13.0
2.0,1.0,2,1.0,5.0,0.0,16.0,8.0,4.1,15.0
2.0,0.0,2,2.0,4.0,0.0,12.0,2.0,2.5,11.0
0.0,1.0,0,0.0,3.0,1.0,16.0,6.0,2.3,12.0
2.0,2.0,2,2.0,6.0,0.0,7.0,5.0,1.83,9.0
1.0,1.0,0,0.0,3.0,1.0,12.0,4.0,3.25,15.0
1.0,1.0,2,1.0,3.0,0.0,11.0,1.0,2.2,8.0
5.0,2.0,2,1.0,3.0,0.0,11.0,10.0,4.5,24.0
6.0,1.0,2,3.0,3.0,0.0,12.0,6.0,2.25,11.0
2.0,1.0,2,2.0,2.0,0.0,13.0,8.0,21.0,19.0
2.0,1.0,0,0.0,2.0,1.0,11.0,6.0,2.65,17.0
