date,home_team,away_team,score,stats_url,uid
Wednesday 14 May 2025,Aberdeen FC,Celtic FC,1 - 5,https://www.football.co.uk/match-reports/aberdeen/aberdeen/3536361-9/,Wednesday 14 May 2025|Aberdeen FC|Celtic FC
Wednesday 14 May 2025,St. Mirren FC,Hibernian FC,2 - 2,https://www.football.co.uk/match-reports/st_mirren/st_mirren/3536363-9/,Wednesday 14 May 2025|St. Mirren FC|Hibernian FC
Wednesday 14 May 2025,Rangers FC,Dundee United FC,3 - 1,https://www.football.co.uk/match-reports/rangers/rangers/3536362-9/,Wednesday 14 May 2025|Rangers FC|Dundee United FC
Wednesday 14 May 2025,Motherwell FC,Kilmarnock FC,3 - 0,https://www.football.co.uk/match-reports/motherwell/motherwell/3536378-9/,Wednesday 14 May 2025|Motherwell FC|Kilmarnock FC
Wednesday 14 May 2025,Dundee FC,Ross County FC,1 - 1,https://www.football.co.uk/match-reports/dundee_united/dundee_united/3536376-9/,Wednesday 14 May 2025|Dundee FC|Ross County FC
Wednesday 14 May 2025,Heart of Midlothian FC,St. Johnstone FC,2 - 1,https://www.football.co.uk/match-reports/hearts/hearts/3536377-9/,Wednesday 14 May 2025|Heart of Midlothian FC|St. Johnstone FC
Sunday 11 May 2025,Liverpool FC,Arsenal FC,2 - 2,https://www.football.co.uk/match-reports/liverpool/liverpool/3497763-9/,Sunday 11 May 2025|Liverpool FC|Arsenal FC
Sunday 11 May 2025,Manchester United FC,West Ham United FC,0 - 2,https://www.football.co.uk/match-reports/manchester_united/manchester_united/3497764-9/,Sunday 11 May 2025|Manchester United FC|West Ham United FC
Sunday 11 May 2025,Tottenham Hotspur FC,Crystal Palace FC,0 - 2,https://www.football.co.uk/match-reports/tottenham_hotspur/tottenham_hotspur/3497768-9/,Sunday 11 May 2025|Tottenham Hotspur FC|Crystal Palace FC
Sunday 11 May 2025,Nottingham Forest FC,Leicester City FC,2 - 2,https://www.football.co.uk/match-reports/nottingham_forest/nottingham_forest/3497766-9/,Sunday 11 May 2025|Nottingham Forest FC|Leicester City FC
Sunday 11 May 2025,Newcastle United FC,Chelsea FC,2 - 0,https://www.football.co.uk/match-reports/newcastle_united/newcastle_united/3497765-9/,Sunday 11 May 2025|Newcastle United FC|Chelsea FC
Sunday 11 May 2025,Rangers FC,Aberdeen FC,4 - 0,https://www.football.co.uk/match-reports/rangers/rangers/3536360-9/,Sunday 11 May 2025|Rangers FC|Aberdeen FC
Saturday 10 May 2025,AFC Bournemouth,Aston Villa FC,0 - 1,https://www.football.co.uk/match-reports/afc_bournemouth/afc_bournemouth/3497760-9/,Saturday 10 May 2025|AFC Bournemouth|Aston Villa FC
Saturday 10 May 2025,Ipswich Town FC,Brentford FC,0 - 1,https://www.football.co.uk/match-reports/ipswich_town/ipswich_town/3497762-9/,Saturday 10 May 2025|Ipswich Town FC|Brentford FC
Saturday 10 May 2025,Southampton FC,Manchester City FC,0 - 0,https://www.football.co.uk/match-reports/southampton/southampton/3497767-9/,Saturday 10 May 2025|Southampton FC|Manchester City FC
Saturday 10 May 2025,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,0 - 2,https://www.football.co.uk/match-reports/wolverhampton_wanderers/wolverhampton_wanderers/3497769-9/,Saturday 10 May 2025|Wolverhampton Wanderers FC|Brighton & Hove Albion FC
Saturday 10 May 2025,Fulham FC,Everton FC,1 - 3,https://www.football.co.uk/match-reports/fulham/fulham/3497761-9/,Saturday 10 May 2025|Fulham FC|Everton FC
Saturday 10 May 2025,Kilmarnock FC,Dundee FC,3 - 2,https://www.football.co.uk/match-reports/kilmarnock/kilmarnock/3536374-9/,Saturday 10 May 2025|Kilmarnock FC|Dundee FC
Saturday 10 May 2025,Celtic FC,Hibernian FC,3 - 1,https://www.football.co.uk/match-reports/celtic/celtic/3536358-9/,Saturday 10 May 2025|Celtic FC|Hibernian FC
Saturday 10 May 2025,St. Johnstone FC,Ross County FC,2 - 1,https://www.football.co.uk/match-reports/st_johnstone/st_johnstone/3536375-9/,Saturday 10 May 2025|St. Johnstone FC|Ross County FC
Saturday 10 May 2025,Heart of Midlothian FC,Motherwell FC,3 - 0,https://www.football.co.uk/match-reports/hearts/hearts/3536373-9/,Saturday 10 May 2025|Heart of Midlothian FC|Motherwell FC
Saturday 10 May 2025,Dundee United FC,St. Mirren FC,0 - 2,https://www.football.co.uk/match-reports///3536359-9/,Saturday 10 May 2025|Dundee United FC|St. Mirren FC
Monday 05 May 2025,Crystal Palace FC,Nottingham Forest FC,1 - 1,https://www.football.co.uk/match-reports/crystal_palace/crystal_palace/3497755-9/,Monday 05 May 2025|Crystal Palace FC|Nottingham Forest FC
Sunday 04 May 2025,Chelsea FC,Liverpool FC,3 - 1,https://www.football.co.uk/match-reports/chelsea/chelsea/3497754-9/,Sunday 04 May 2025|Chelsea FC|Liverpool FC
Sunday 04 May 2025,Brighton & Hove Albion FC,Newcastle United FC,1 - 1,https://www.football.co.uk/match-reports/brighton_and_hove_albion/brighton_and_hove_albion/3497753-9/,Sunday 04 May 2025|Brighton & Hove Albion FC|Newcastle United FC
Sunday 04 May 2025,West Ham United FC,Tottenham Hotspur FC,1 - 1,https://www.football.co.uk/match-reports/west_ham_united/west_ham_united/3497759-9/,Sunday 04 May 2025|West Ham United FC|Tottenham Hotspur FC
Sunday 04 May 2025,Brentford FC,Manchester United FC,4 - 3,https://www.football.co.uk/match-reports/brentford/brentford/3497752-9/,Sunday 04 May 2025|Brentford FC|Manchester United FC
Sunday 04 May 2025,Rangers FC,Celtic FC,1 - 1,https://www.football.co.uk/match-reports/rangers/rangers/3536357-9/,Sunday 04 May 2025|Rangers FC|Celtic FC
Saturday 03 May 2025,Arsenal FC,AFC Bournemouth,1 - 2,https://www.football.co.uk/match-reports/arsenal/arsenal/3497750-9/,Saturday 03 May 2025|Arsenal FC|AFC Bournemouth
