Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2023-01-19,Gent,Charleroi,D,0.8,3.4,10.2,3.2,4.8,0.0,0.0,2.0,1.4,14.2,5.4,4.8,0.6,2.2,-2.2,-3.1999999999999997,0.28571428571428575,0.3552631578947369,-0.6,1
2023-01-19,St Truiden,Club Brugge,D,2.2,1.6,13.0,5.2,5.0,0.6,2.0,2.4,0.8,18.6,6.8,6.4,0.8,2.6,-0.6000000000000001,-0.9999999999999998,0.37142857142857144,0.346938775510204,-0.20000000000000007,1
2023-01-21,Waregem,Westerlo,D,1.5,1.0,13.75,3.75,4.75,0.5,1.75,2.2,2.2,14.2,5.0,7.4,0.4,1.4,0.3500000000000001,0.5,0.2542372881355932,0.32894736842105265,0.09999999999999998,1
2023-01-21,Mechelen,Kortrijk,H,1.2,1.0,13.2,3.4,6.8,0.2,1.4,2.0,1.2,11.6,4.2,4.8,0.6,2.0,-0.6000000000000001,-0.6000000000000001,0.23943661971830987,0.33333333333333337,-0.39999999999999997,0
2023-01-21,Oostende,Cercle Brugge,A,0.6666666666666666,2.3333333333333335,15.666666666666666,3.3333333333333335,4.0,0.0,0.0,1.2,2.0,13.8,4.4,5.2,0.2,0.8,-0.8,-0.8666666666666669,0.20000000000000004,0.2972972972972973,-0.2,2
2023-01-22,Antwerp,Standard,H,1.2,1.8,10.2,4.0,3.8,0.2,1.0,0.4,0.2,8.6,2.6,3.6,0.2,1.2,-0.19999999999999996,-0.8,0.35714285714285715,0.27083333333333337,0.0,0
2023-01-22,Seraing,Anderlecht,A,1.6666666666666667,1.6666666666666667,8.0,3.6666666666666665,4.333333333333333,0.3333333333333333,1.3333333333333333,2.0,1.8,14.4,5.2,4.4,0.4,1.2,0.1333333333333333,-0.19999999999999996,0.4074074074074074,0.33766233766233766,-0.06666666666666671,2
2023-01-22,Club Brugge,Charleroi,D,2.4,0.8,18.6,6.8,6.4,0.8,2.6,2.0,1.4,14.2,5.4,4.8,0.6,2.2,0.3999999999999999,0.9999999999999998,0.346938775510204,0.3552631578947369,0.20000000000000007,1
2023-01-22,St Truiden,Gent,A,2.2,1.6,13.0,5.2,5.0,0.6,2.0,0.8,3.4,10.2,3.2,4.8,0.0,0.0,2.0,3.1999999999999997,0.37142857142857144,0.28571428571428575,0.6,2
2023-01-27,Standard,Eupen,H,0.4,0.2,8.6,2.6,3.6,0.2,1.2,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.6,0.7999999999999998,0.27083333333333337,0.25,0.0,0
2023-01-28,Westerlo,Mechelen,H,2.2,2.2,14.2,5.0,7.4,0.4,1.4,1.2,1.0,13.2,3.4,6.8,0.2,1.4,0.0,-0.19999999999999996,0.32894736842105265,0.23943661971830987,0.2,0
2023-01-28,Kortrijk,Oostende,D,2.0,1.2,11.6,4.2,4.8,0.6,2.0,0.75,2.25,14.0,3.5,4.0,0.0,0.0,2.0,2.3,0.33333333333333337,0.23333333333333334,0.6,1
2023-01-28,Oud-Heverlee Leuven,St Truiden,D,0.8,2.6,10.0,2.6,6.0,0.0,0.2,2.2,1.6,13.0,5.2,5.0,0.6,2.0,-1.8,-2.4000000000000004,0.23636363636363636,0.37142857142857144,-0.6,1
2023-01-28,Charleroi,St. Gilloise,A,2.0,1.4,14.2,5.4,4.8,0.6,2.2,2.0,0.4,13.6,5.6,4.4,0.8,2.6,-0.3999999999999999,-1.0,0.3552631578947369,0.3835616438356164,-0.20000000000000007,2
2023-01-29,Anderlecht,Antwerp,D,2.0,1.8,14.4,5.2,4.4,0.4,1.2,1.2,1.8,10.2,4.0,3.8,0.2,1.0,0.19999999999999996,0.8,0.33766233766233766,0.35714285714285715,0.2,1
2023-01-29,Cercle Brugge,Gent,H,1.2,2.0,13.8,4.4,5.2,0.2,0.8,0.8,3.4,10.2,3.2,4.8,0.0,0.0,0.8,1.7999999999999996,0.2972972972972973,0.28571428571428575,0.2,0
2023-01-29,Waregem,Club Brugge,A,1.4,1.0,13.2,3.6,4.8,0.4,1.6,2.4,0.8,18.6,6.8,6.4,0.8,2.6,-1.0,-1.2,0.2535211267605634,0.346938775510204,-0.4,2
2023-01-29,Genk,Seraing,H,1.4,1.4,11.6,5.2,3.6,0.4,1.2,1.25,1.5,8.25,3.75,4.25,0.25,1.0,0.19999999999999996,0.25,0.41269841269841273,0.40540540540540543,0.15000000000000002,0
2023-02-01,Eupen,Genk,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.4,1.4,11.6,5.2,3.6,0.4,1.2,-0.6,-0.5999999999999999,0.25,0.41269841269841273,-0.2,1
2023-02-03,Oostende,Anderlecht,A,1.0,2.2,15.6,4.2,4.2,0.0,0.2,2.0,1.8,14.4,5.2,4.4,0.4,1.2,-1.0,-1.4000000000000001,0.25301204819277107,0.33766233766233766,-0.4,2
2023-02-04,Cercle Brugge,Standard,D,1.2,2.0,13.8,4.4,5.2,0.2,0.8,0.4,0.2,8.6,2.6,3.6,0.2,1.2,-0.3999999999999999,-1.0,0.2972972972972973,0.27083333333333337,0.0,1
2023-02-04,Eupen,Westerlo,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,2.2,2.2,14.2,5.0,7.4,0.4,1.4,-0.7999999999999999,-0.5999999999999999,0.25,0.32894736842105265,-0.2,1
2023-02-04,Seraing,Oud-Heverlee Leuven,H,1.0,2.0,7.8,3.0,4.2,0.2,0.8,0.8,2.6,10.0,2.6,6.0,0.0,0.2,0.6000000000000001,0.8,0.3409090909090909,0.23636363636363636,0.2,0
2023-02-04,St Truiden,Kortrijk,H,2.2,1.6,13.0,5.2,5.0,0.6,2.0,2.0,1.2,11.6,4.2,4.8,0.6,2.0,0.0,-0.19999999999999996,0.37142857142857144,0.33333333333333337,0.0,0
2023-02-05,Antwerp,Club Brugge,D,1.2,1.8,10.2,4.0,3.8,0.2,1.0,2.4,0.8,18.6,6.8,6.4,0.8,2.6,-1.6,-2.2,0.35714285714285715,0.346938775510204,-0.6000000000000001,1
2023-02-05,Mechelen,Charleroi,D,1.2,1.0,13.2,3.4,6.8,0.2,1.4,2.0,1.4,14.2,5.4,4.8,0.6,2.2,-0.8000000000000003,-0.40000000000000013,0.23943661971830987,0.3552631578947369,-0.39999999999999997,1
2023-02-05,Gent,Genk,A,0.8,3.4,10.2,3.2,4.8,0.0,0.0,1.4,1.4,11.6,5.2,3.6,0.4,1.2,-1.2,-2.5999999999999996,0.28571428571428575,0.41269841269841273,-0.4,2
2023-02-05,St. Gilloise,Waregem,H,2.0,0.4,13.6,5.6,4.4,0.8,2.6,1.2,1.4,12.2,3.6,5.0,0.2,1.0,1.6,1.8,0.3835616438356164,0.27272727272727276,0.6000000000000001,0
2023-02-10,Oud-Heverlee Leuven,Cercle Brugge,D,0.8,2.6,10.0,2.6,6.0,0.0,0.2,1.2,2.0,13.8,4.4,5.2,0.2,0.8,-0.6000000000000001,-1.0,0.23636363636363636,0.2972972972972973,-0.2,1
2023-02-10,Club Brugge,St. Gilloise,D,2.4,0.8,18.6,6.8,6.4,0.8,2.6,2.0,0.4,13.6,5.6,4.4,0.8,2.6,0.0,-2.220446049250313e-16,0.346938775510204,0.3835616438356164,0.0,1
2023-02-10,Eupen,Mechelen,H,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.2,1.0,13.2,3.4,6.8,0.2,1.4,-0.7999999999999999,-0.7999999999999998,0.25,0.23943661971830987,0.0,0
2023-02-11,Westerlo,Gent,D,2.2,2.2,14.2,5.0,7.4,0.4,1.4,0.8,3.4,10.2,3.2,4.8,0.0,0.0,1.4,2.5999999999999996,0.32894736842105265,0.28571428571428575,0.4,1
2023-02-11,Charleroi,Seraing,H,2.0,1.4,14.2,5.4,4.8,0.6,2.2,1.0,2.0,9.8,3.4,5.2,0.2,0.8,1.4000000000000001,1.6,0.3552631578947369,0.31481481481481477,0.39999999999999997,0
2023-02-12,Genk,Antwerp,A,1.4,1.4,11.6,5.2,3.6,0.4,1.2,1.2,1.8,10.2,4.0,3.8,0.2,1.0,0.19999999999999996,0.6000000000000001,0.41269841269841273,0.35714285714285715,0.2,2
2023-02-12,Anderlecht,St Truiden,H,2.0,1.8,14.4,5.2,4.4,0.4,1.2,2.2,1.6,13.0,5.2,5.0,0.6,2.0,-0.8,-0.40000000000000013,0.33766233766233766,0.37142857142857144,-0.19999999999999996,0
2023-02-12,Standard,Kortrijk,A,0.4,0.2,8.6,2.6,3.6,0.2,1.2,2.0,1.2,11.6,4.2,4.8,0.6,2.0,-0.8,-0.6000000000000001,0.27083333333333337,0.33333333333333337,-0.39999999999999997,2
2023-02-12,Waregem,Oostende,D,1.2,2.0,12.2,3.6,4.6,0.2,1.0,0.8,2.2,14.4,4.4,3.8,0.0,0.2,0.8,0.6000000000000001,0.27272727272727276,0.28571428571428575,0.2,1
2023-02-17,Mechelen,Genk,D,1.2,1.0,13.2,3.4,6.8,0.2,1.4,1.4,1.4,11.6,5.2,3.6,0.4,1.2,0.19999999999999996,0.19999999999999996,0.23943661971830987,0.41269841269841273,-0.2,1
